ranking,昵称,抖音号,number of followers,gender,profession of the broadcaster,profession,Number of viewers,sales volume,销售额/万,value of sales,Word of mouth,Live broadcast times,Total products,Total duration of live broadcast
1103,奥康箱包官方旗舰店,AOKANG88,407070,female,穿搭,0,65198,5.1w,576.7,5.77,4.94,49,187,6天9时37分30秒
1104,松哥鱼姐商贸,sgyj0908,390778,female,种草,14,104913,4.4w,576.3,5.76,4.54,29,77,5天19时24分24秒
1105,珍珍female装批发（7号下午11点见）,1531512440,175567,female,穿搭,0,37487,2.1w,576.2,5.76,4.93,26,249,3天13时41分7秒
1106,董艳颖,ffssdd2010,1637242,female,搞笑,2,254495,8.8w,575.8,5.76,4.89,11,81,2天29分51秒
1107,远明酒业专营店,yuanmingjxg,39355,female,种草,14,24279,3549,575.8,5.76,4.31,28,33,16天19时8分38秒
1108,帅帅形体哥教育,LF278278,2115219,male,生活,10,178365,8.0w,575.5,5.76,4.97,71,114,8天21时52分35秒
1109,武汉艾依琪服饰有限公司,CH1818606,811016,female,穿搭,0,91417,4.9w,575.4,5.75,4.91,106,74,24天8时55分47秒
1110,素说文艺复古female装,dyhwtpdb51zl,323116,female,穿搭,0,61613,7.2w,575.2,5.75,1.61,52,228,8天20时55分4秒
1111,尚格格大码【厂家直销】,YY20299,668190,female,穿搭,0,126526,13.9w,575.1,5.75,1.63,78,279,13天21时44秒
1112,比乐优选(工厂直发),ruyi915,332360,female,种草,14,41215,8.3w,574.7,5.75,4.97,39,5,19天4时49分9秒
1113,豪立?珠宝9??2??2??,shaoshuai8886,61871,male,珠宝,0,50099,4.5w,574.3,5.74,4.49,23,567,1天8时52分56秒
1114,新郑市白马服装厂,dyck2s4k9hmu,1949340,female,穿搭,0,291573,9.0w,574.2,5.74,4.91,30,128,3天23时30分29秒
1115,一哥彩宝工厂直播,87476779736,52164,female,珠宝,0,74675,5.6w,573.9,5.74,4.92,34,6629,7天18时52分32秒
1116,你家大彤彤,xsdatongtong,65127,female,珠宝,0,9520,2059,573.6,5.74,4.42,34,2273,4天8时4分22秒
1117,娇滴滴1号—每天早上7点直播,jiaodidi325,45578,female,穿搭,0,17610,5.0w,572.6,5.73,1.96,26,790,3天16时57分11秒
1118,宝藏大码female装,1804324494,619917,female,穿搭,0,122728,12.3w,572.6,5.73,4.79,52,322,9天14时48分51秒
1119,杜思蒙服饰,Duchengcheng1011,1409988,female,穿搭,0,161129,11.5w,572.3,5.72,4.91,19,320,2天10时49分39秒
1120,酒花的名酿世界（每天11点 准时送浮力）,mingniangshijie,1266493,female,生活,10,87350,5.9w,571.2,5.71,4.79,49,88,5天8时36分2秒
1121,指e家智能锁官方旗舰店,zhiejiasmartlock,182916,male,生活,10,18621,5232,571.1,5.71,4.87,43,23,22天19时46分49秒
1122,缅甸探宝,MDTB168,71375,female,珠宝,0,26980,483,570.8,5.71,4.72,56,551,23天22时21分24秒
1123,阔仔仔家纺冲300万粉丝浮力,cozeze,2071261,female,种草,14,104114,22.1w,570.4,5.7,1.69,150,565,15天10时14分33秒
1124,方一贝female装 上午7点半开播,fangbei8888,176136,female,穿搭,0,57201,8.0w,569.6,5.7,4.73,51,611,7天20时5分23秒
1125,百爱妈妈装,abw888,601755,female,穿搭,0,57753,6.8w,569.5,5.7,4.94,30,167,20天16时25分8秒
1126,加喜惠选,xiao99xxx,1290010,female,美食,7,65089,4.7w,569.2,5.69,4.69,59,93,5天11时57分41秒
1127,colorkey珂拉琪,Colorkey,841527,female,美妆,8,99982,7.2w,567.8,5.68,4.99,28,56,18天20时
1128,百牧羊双面羊绒大衣工厂,hyx12300,235424,female,穿搭,0,58345,5.2w,567.7,5.68,1.67,70,70,11天15时21分28秒
1129,季哥智能锁指纹锁,jgzns,908051,male,种草,14,33347,5582,567.6,5.68,4.54,35,16,16天19时29分31秒
1130,奥德珍珠,aodezhenzhu,10582,male,珠宝,0,7694,5787,567.4,5.67,4.84,58,9472,16天27分23秒
1131,小花奢侈品J,hanazg31,56625,female,生活,10,12689,675,567.2,5.67,4.13,78,3470,15天7时16分24秒
1132,高小厨,gxc778778,607675,female,生活,10,48286,3.3w,567,5.67,4.59,56,32,2天17时53分14秒
1133,红谷官方店,hongguguanfal,75470,female,珠宝,0,42670,2.1w,566.8,5.67,4.99,61,214,11天18时1分54秒
1134,英子家female装,yzj198803,86229,female,穿搭,0,112615,15.5w,566.8,5.67,4.95,22,1551,2天17时5分11秒
1135,优果小瑞,youguoxiaorui,1559453,female,美食,7,273854,22.1w,566.8,5.67,4.69,24,307,5天9时54分45秒
1136,曼属服饰（大牌半价）,992424908,371424,male,穿搭,0,19156,5.5w,566.1,5.66,4.48,32,70,11天18时4分20秒
1137,穿高跟鞋的吴大叔  晚18:00female鞋直播,837437381,554839,male,穿搭,0,186110,2.5w,565.3,5.65,4.99,25,113,6天19分27秒
1138,熊宝?十点直播,xtt1119,1977999,female,网红,12,149294,13.4w,565,5.65,4.72,22,195,3天6时52分6秒
1139,骆驼 CAMEL,camel666888,289450,female,穿搭,0,37712,2.3w,561.8,5.62,4.94,39,145,9天22时25分16秒
1140,承轩奢侈品A,chengxuanscpA,402658,female,生活,10,13475,1212,564.7,5.65,4.27,33,1331,8天6时31分20秒
1141,安莉芳官方旗舰店,Embryform_sz,49949,female,穿搭,0,51570,2.7w,561.5,5.62,4.82,41,113,9天16时19分9秒
1142,东方灵玉绿松石,DFLY01,58150,female,文学艺术,13,10043,9467,563.9,5.64,4.95,90,17662,18天1时59分35秒
1143,BN家高端服饰,BNjiagaoduan,129814,female,珠宝,0,209209,25.1w,563.6,5.64,4.76,33,140,3天7时27分1秒
1144,稻草放毒（正在直播高品质牛排专场）,600981708,5135994,male,美食,7,151260,2.8w,563.1,5.63,4.74,16,100,3天9分15秒
1145,MIUCO小衣橱掌柜,dyzfz1t3pkat,2106937,female,穿搭,0,204794,3.0w,563,5.74,4.91,30,370,18天17时56分29秒
1116,樱夫人家雨辰（10到11点开播）,yingfuren1314,356159,female,穿搭,0,95542,3.8w,563,5.63,1.96,47,81,5天12时21分57秒
1147,周公子珠宝,dy1eugkq8khbh,16231,female,珠宝,0,24188,8755,563,5.63,4.61,26,4204,5天18时27分4秒
1148,珠珠baby,zhuzhu616521,366338,female,穿搭,0,106618,10.7w,562.7,5.63,4.49,44,245,4天22时29分8秒
1149,淳安县蘑菇街服装店,wsk588,324748,female,穿搭,0,76108,4.7w,562.5,5.63,5,26,627,4天11时58分52秒
1150,卓诗尼官方旗舰店,1815692801,982689,female,穿搭,0,131401,1.6w,561.6,5.62,4.82,60,221,12天16时22分6秒
1151,逸美工厂female鞋,lemei7777,364411,female,生活,10,66337,8.2w,561.6,5.62,4.58,37,351,2天9时18分25秒
1152,七七优选,chen20211219,225854,female,种草,14,39167,21.3w,560.3,5.6,4.79,39,43,15天3时5分29秒
1153,Jessyline官方旗舰店,2221712060,65531,female,穿搭,0,32940,1.4w,559.4,5.59,4.92,61,176,13天3时14分42秒
1154,翡翠嘉年华,feicuijiania,11020,female,珠宝,0,12923,7446,558.8,5.59,4.64,50,8773,10天2时48分33秒
1155,爱尚塞飞洛,CEFIRO2020,143022,female,穿搭,0,51961,4.1w,558.4,5.58,4.99,35,119,4天29分7秒
1156,刘巧巧,bpsnlqq,4985830,female,美妆,8,1363781,7.2w,557.1,5.57,5,1,31,6时07分10秒
1157,佑游健身穿搭,33kp,1482378,female,穿搭,0,118550,17.6w,556.8,5.57,1.96,66,184,22天21时6分29秒
1158,家之物语居家日用,kateistory,113969,female,珠宝,0,38806,11.4w,556.4,5.56,4.95,30,109,12天18时6分28秒
1159,斑布官方旗舰店,BABO.BABO,210944,female,种草,14,101315,18.4w,556.1,5.56,4.89,39,39,16天5时8分32秒
1160,雪总减肥课堂,xuezong2,8768027,female,健康,3,158595,8.2w,556.1,5.56,4.9,61,107,8天51分59秒
1161,范家female装（今晚5:10直播）,Ggnvzhuang,151798,female,穿搭,0,68081,1.7w,555.5,5.56,4.83,34,154,6天17时55分10秒
1162,优优百果,gsm1234,624608,female,美食,7,72793,10.4w,555.3,5.55,4.54,36,30,12天22时6分11秒
1163,馨予小麻豆（female装穿搭）,XINYU_loveU,116879,female,穿搭,0,95088,11.7w,551.6,5.56,4.92,36,175,5天12时35分57秒
1161,笨蛋熊童装店,bendanxiong888,335558,male,穿搭,0,80881,19.8w,554.3,5.54,4.98,16,1187,5天1时9分59秒
1165,佩佩精品服饰（晚8点直播）,123456ppyc1777,61155,female,珠宝,0,104828,6.6w,554.2,5.54,4.99,33,503,5天2时15分58秒
1166,一禾定制female装,YIHENZ2021,93748,female,珠宝,0,100522,4.6w,554.1,5.54,4.96,27,41,3天17时58分46秒
1167,王丽萍,ZW888666,9365818,female,生活,10,245098,4.5w,552.9,5.53,4.05,14,179,3天18时56分8秒
1168,雅漾,AveneOfficial,181502,female,美妆,8,65776,3.6w,552.5,5.53,1.96,30,57,19天10时48分31秒
1169,BASICHOUSE百家好官方旗舰店,1695776111,67577,female,穿搭,0,16388,1.9w,552.2,5.52,4.95,47,234,10天6时26分11秒
1170,幸福一家人周甜丽7月8号护肤品专场,li2808628000,5614335,female,生活,10,785521,7.3w,551.2,5.51,4.54,5,40,13时28分11秒
1171,辰辰妈童装官方账号,91617030,736705,female,穿搭,0,93404,17.8w,550.5,5.51,4.98,16,320,9天2时31分57秒
1172,LISA隋心,lisasuixin,526899,female,穿搭,0,125753,10.3w,550.2,5.5,4.99,16,1369,2天40分59秒
1173,适道文化,sdwh221,97668,male,生活,10,8587,6168,549.4,5.49,4.99,62,4023,12天20时44分49秒
1174,牧民达西,MLQ1991,3035117,male,旅行,6,433321,5.3w,549.3,5.49,4.78,23,65,3天15时39分37秒
1175,胖虎SHE姐妹团,ponhu008,17657,female,种草,14,7199,1910,548.5,5.49,1.86,45,996,6天5分12秒
1176,向响响的麻麻-初见云花店,gebilaoxiang,1148497,female,生活,10,166904,16.0w,548.4,5.48,4.48,110,249,15天9时1分26秒
1177,MiuMiu定制服饰（早上8点半开播）,miumiunz,308122,female,种草,14,76063,2.8w,548.2,5.48,4.84,25,120,5天1时22分8秒
1178,玉荐你,dy5dfyqpimqm,448632,female,教育,4,63738,1.6w,548,5.48,4.34,115,16456,16天18时36分31秒
1179,小牛凯西牛排,XNKXQJD,163774,female,美食,7,47045,3.7w,547.2,5.47,4.96,33,25,13天4时25分51秒
1180,琳多多Laiziyan,LZY3578,116667,female,生活,10,52802,3.3w,546.5,5.47,4.99,22,81,3天4时29分35秒
1181,陈湘湘cxx,_ChenXX,380484,female,体育,11,125003,2.1w,546.4,5.46,4.77,16,427,2天6时28分54秒
1182,达芙妮官方旗舰店,DaphneOffical,155519,female,穿搭,0,286052,5.4w,516.3,5.16,1.61,25,143,6天12时5分57秒
1183,炫妈～睿恩衣橱,Lm223908,310179,female,穿搭,0,16371,2.0w,516.3,5.16,4.88,20,289,3天11时17分47秒
1184,舞哥female装穿搭(早上6点大清仓高端female装,800955269,384850,female,穿搭,0,102376,6.9w,545.7,5.46,1.63,34,289,6天13时17分21秒
1185,客家媳妇小伍,hellobaby077,2003365,female,生活,10,151456,7.8w,544.7,5.45,4.91,27,105,3天11时50分25秒
1186,杭州四季青服装批发市场小封家（最近小号播,xiaofengjia1888,179547,female,穿搭,0,208652,5.3w,544,5.44,4.85,34,599,7天10时20分37秒
1187,柚苏-今晚20:30播北欧家具,yousu668800,58275,female,珠宝,0,69783,6817,543.5,5.44,4.12,23,666,2天17时12分8秒
1188,暴走的萝莉官方,595553485,119603,female,穿搭,0,38739,4.2w,543.3,5.43,5,56,116,19天13时4分9秒
1189,俪生伴,C15995922760,1308108,female,穿搭,0,66326,8.5w,543.1,5.43,4.94,44,138,26天7时11分12秒
1190,果壳姐妹female鞋（20：00直播）,dy3ddx5vxrfv,95514,female,穿搭,0,144451,3.1w,542.5,5.43,4.99,33,65,6天13分12秒
1191,大力智能学习灯,dalishendeng,115187,female,生活,10,27602,8331,542.2,5.42,5,37,8,17天5时34分3秒
1192,戴维贝拉官方旗舰店,1723482096,349342,female,生活,10,34534,5.2w,542,5.42,4.95,98,522,19天22时49分35秒
1193,繁珝珂琪琪大码搭配,ic7088,562669,female,穿搭,0,213915,10.6w,541.7,5.42,4.78,30,222,21天11时3分29秒
1194,OMOM服饰,65658787a,301683,female,穿搭,0,168965,6.1w,541.5,5.42,4.92,40,78,5天10时44分47秒
1195,朵拉Dora小小【每天早上直播】,Dora58888,395280,female,生活,10,52448,6.8w,541.5,5.42,5,27,942,4天18时20分43秒
1196,七个孩子的妈妈,aaa6661193,2037107,female,生活,10,71390,4.7w,540.5,5.41,4.92,26,329,4天2时37分20秒
1197,金龙珠宝严选,jinlongzhuba,39176,female,珠宝,0,45334,2.5w,540.4,5.4,4.52,21,224,2天6时7分54秒
1198,七度空间官方旗舰店,HA_qdkj,167578,female,种草,14,125341,8.9w,538.4,5.38,4.99,27,16,5天11时37分39秒
1199,大连YAMI韩国female装,yami0004,189011,female,穿搭,0,66068,3.4w,538.4,5.38,4.99,25,324,4天9时43分48秒
1200,Foh除甲醛,dy6xaycwwutm,112022,female,种草,14,10928,1.5w,538.3,5.38,4.79,49,14,19天8时11分56秒
1201,可贝尔COBOR专卖店,1839295577,271191,female,美妆,8,27451,2.0w,538.1,5.38,1.86,31,29,20天7时35分10秒
1202,巧雨秀服饰,521mama,1327827,female,穿搭,0,86716,6.1w,537.9,5.38,4.8,30,171,23天11时19分
1203,减不了肥的大g(周三早上9.50现货专场,ddddgwa,167059,female,穿搭,0,117803,6.0w,537.6,5.38,4.94,17,98,3天9时1分1秒
1204,陈说美食,625926141,5586810,female,美食,7,542528,14.5w,536.8,5.37,4.76,16,203,2天9时57分8秒
1205,千蜜珠宝,tmzb888888,51520,female,珠宝,0,35454,2.0w,536.7,5.37,4.95,27,6581,8天4时57分10秒
1206,無印良品家居旗舰店,wuyinliangpin_bh,390091,female,生活,10,27351,2.1w,536.5,5.37,4.53,45,53,18天16时2分48秒
1207,就是张佳琪（晚八点直播）,jiushizhangj,1286695,female,生活,10,74612,2.7w,536.4,5.36,4.45,14,63,1天18时33分25秒
1208,海世船说,Hong80885,2343405,female,生活,10,129602,10.5w,536.3,5.36,4.93,76,216,4天15时25分26秒
1209,卡拉羊琦哥箱包店,911056888,85274,male,生活,10,41845,2.1w,535.7,5.36,4.92,18,46,6天10时32分42秒
1210,清清老师和妈妈,qingqing_and_mom,1070213,female,生活,10,184079,6.8w,533.8,5.34,4.83,14,129,2天4时34分4秒
1211,Mbox?轻奢配饰 设计师品牌(招主播),Mbox14913,767421,female,珠宝,0,127610,12.7w,532.1,5.32,4.99,55,614,13天22时21分9秒
1212,天圆珠宝,Tianyuan669,14788,male,珠宝,0,15180,6925,531.8,5.32,4.78,22,2244,3天16时5分5秒
1213,100芬服饰,duti100,1073361,female,穿搭,0,1183566,13.2w,531.7,5.32,1.65,7,157,20天12时26分
1214,海澜之家旗舰店,HLA_6668,289972,female,穿搭,0,85917,7.7w,531.6,5.32,4.9,80,171,18天5时4分2秒
1215,清芷服装店,qzfs1688,331849,female,穿搭,0,91534,6.7w,531.6,5.32,1.96,32,185,22天22时40分37秒
1216,蕉下官方旗舰店,857903139,163018,female,种草,14,97767,4.0w,531.5,5.32,4.9,25,89,7天4时2秒
1217,懵思特,Aloooooha_Sissi,28402,female,珠宝,0,35307,553,530.9,5.31,5,13,1150,3天6时15分58秒
1218,94192472299,94192472299,28804,female,种草,14,50345,2.4w,530.5,5.31,4.43,14,26,1天33分9秒
1219,主持人周洲,youyang100s,2922630,female,教育,4,93336,9.8w,530,5.3,4.78,22,734,4天23时1分4秒
1220,达芙妮品牌female鞋直播,DFN8885,142243,female,穿搭,0,73388,4.1w,529.4,5.29,4.71,31,16,9天1时20分38秒
1221,桃姐?精品female装,Taojie818,1794703,female,穿搭,0,516211,16.0w,528.8,5.29,1.69,40,259,6天8时2分1秒
1222,韩安冉Abby?,7216407,3161052,female,网红,12,600639,9.5w,528.7,5.29,4.65,15,337,1天10时21分7秒
1223,福多多珠宝3号,fdd131499,33597,female,珠宝,0,42182,1.8w,528.5,5.29,4.36,31,13000,25天47分39秒
1224,超哥～网络工作室,FM60051,24800,female,珠宝,0,73166,2.5w,528.4,5.28,4.81,16,229,2天14时7分54秒
1225,YINER音儿品牌店,YINER1996,79807,female,穿搭,0,11670,7047,527.9,5.28,4.85,81,430,11天12时19分36秒
1226,可以吃西瓜,BX66518,2356288,female,网红,12,98763,3332,527.6,5.28,4.56,1,24,8时05分56秒
1227,钟薛高,615191611,106618,male,种草,14,63160,4.2w,527.4,5.27,4.97,26,33,12天1时45分29秒
1228,阿道夫旗舰店,610912216,1350696,female,种草,14,27185,5.5w,527.1,5.27,1.63,72,21,17天6时36分28秒
1229,广州橘子皮具,guangzhoujuz,153713,female,穿搭,0,81169,2.8w,527,5.27,4.72,26,35,2天4时19分19秒
1230,美少female轻奢female鞋,xixinvxiegc,368335,female,生活,10,951433,20.6w,526.7,5.27,4.31,23,548,15天6时23分55秒
1231,海南三宝艺术收藏馆,sanbaozhensang,177289,male,文学艺术,13,132243,9.5w,526.6,5.27,4.75,29,2659,5天16时48分44秒
1232,冯明慧子服装,Fmhz666,581609,female,生活,10,137644,6.1w,526.5,5.27,4.61,39,165,4天14时45分40秒
1233,网易有道词典笔,NetEase_youdao_1,315071,female,种草,14,26066,6813,526.2,5.26,4.93,30,17,22天20时59分34秒
1234,陌陌家居好物1,ajyxhw,298929,female,生活,10,38190,30.9w,525.2,5.25,4.9,58,80,15天11时10分44秒
1235,齐妙主妇,qmzf777,1513885,female,生活,10,167969,17.0w,525,5.25,4.7,17,260,2天15时32分33秒
1236,许梦淇?高奢定制,qiqibao257527,213129,female,种草,14,72377,2.9w,525,5.25,4.9,26,80,3天4时25分32秒
1237,木卡村服饰旗舰店,Mukacun,666557,male,穿搭,0,97329,7.6w,524.7,5.25,1.86,28,97,24天13时40分11秒
1238,江洲—服装设计师（上午12点直播）,daqi0388,431521,female,穿搭,0,103471,3.1w,521.6,5.22,4.87,22,124,4天4时19分35秒
1239,伊凡护肤严选,zdizhaoshang,743171,female,美妆,8,87800,17.3w,524.5,5.25,4.97,30,72,30天4时52分21秒
1240,哲琪轻奢female鞋,zyys81,622173,female,穿搭,0,405954,17.4w,524.4,5.24,4.4,32,352,13天3时49分27秒
1241,久淋服饰(大上新早上6点30),66aa66aaa,283611,female,穿搭,0,69807,3.3w,523.9,5.24,4.95,27,109,7天11时33分22秒
1242,戴姆勒官方旗舰店,daimule,328974,female,生活,10,93661,22.8w,523.6,5.24,4.88,88,137,6天20时39分50秒
1243,泰国阿芳夫妇,afang168,1889910,female,网红,12,101220,8.2w,523.1,5.23,4.8,23,139,4天6时33分53秒
1244,female装设计师凯文（每天早上4—9点直播）,871322501,96684,male,珠宝,0,67637,2.6w,522.5,5.23,4.73,33,144,6天19时27分31秒
1245,张千万?7.5号下午一点宝藏设计师熏若,season9,93849,female,网红,12,34959,9626,522.4,5.22,4.87,19,703,3天8时52分21秒
1216,胡汉三轻奢female装,1858767093,206959,male,穿搭,0,131629,2.6w,522.4,5.22,1.66,29,72,1天9时10分26秒
1247,徐老板小吃,91430703MA4L17BU,341651,female,美食,7,47107,9.3w,521.8,5.22,4.97,75,45,12天7时2分47秒
1248,漫咖严选贸易,lkx2021888,300980,female,珠宝,0,158028,7.2w,520.9,5.21,4.83,14,183,2天6时4分26秒
1249,谢贝大码female装,xiebeidama,575171,female,穿搭,0,105877,15.5w,519.9,5.2,4.84,30,691,14天11时28分55秒
1250,盛唐二手奢侈品,Juliet20520,22745,female,穿搭,0,10917,2398,519.8,5.2,1.61,24,1097,2天20时38分45秒
1251,@小兔姐姐(6号中午12:00点开播）,jinpopo8,2904376,female,生活,10,60829,14.6w,519.8,5.2,4.99,28,331,2天21时27分23秒
1252,刘威老师,beidaliuwei,2297355,male,教育,4,32935,7167,519.7,5.2,4.96,46,25,19天19时55分10秒
1253,奇彦文艺服饰（早8:20直播）,qiyan_wenyiFushi,243258,female,穿搭,0,83073,6.5w,519.5,5.2,4.97,32,268,5天24分15秒
1254,同裳服饰,V.e13586161569,518498,female,穿搭,0,33026,2.2w,519.5,5.2,4.79,43,51,4天1时35分40秒
1255,晨泉董事长马欢欢,ma778686,2096957,female,生活,10,56798,8.7w,519.4,5.19,4.86,40,83,5天7时4分22秒
1256,华林珠宝,jianglufeicu64,38558,male,珠宝,0,36388,7.4w,519.2,5.19,4.94,25,1756,2天23时49分54秒
1257,米提陈服饰（高薪招主播）,mitichen,42119,female,穿搭,0,23551,1.2w,518.7,5.19,1.96,16,559,3天13时52分2秒
1258,瑞安市底格里斯服装店,xiaotudou88888,167811,female,穿搭,0,141588,2.9w,518.4,5.18,4.9,24,330,5天4时19分41秒
1259,芳草酱香酒馆,yuanming12345,38952,female,种草,14,17161,3178,517.5,5.18,4.53,28,43,17天17时14分13秒
1260,程老师,166179014,3484332,female,教育,4,249006,3.5w,517.1,5.17,4.89,19,21,1天15时46分49秒
1261,幽炫female装,1230024005,535806,female,穿搭,0,37982,3.0w,516.1,5.16,5,51,253,6天11时31分15秒
1262,惠哥-惠买,hm18516885588,1103004,male,生活,10,205028,13.7w,516.3,5.16,4.47,24,389,1天22时22分45秒
1263,大然宝120斤（下午一点直播）,ranran00921,315561,female,穿搭,0,108004,6.6w,515.1,5.17,4.97,25,73,1天11时56秒
1261,康巴赫厨具官方旗舰店,KBHzhiying,153661,female,种草,14,32388,1.3w,515,5.15,4.75,29,21,12天14时44分5秒
1265,蓉蓉female装自制（12点秋大上新）,RR199120,184785,female,穿搭,0,68718,6.2w,511.6,5.12,4.99,20,245,3天2时12分16秒
1266,薄荷健康,830713247,1858848,female,健康,3,14505,1.1w,514.5,5.15,4.9,95,138,21天5时32分51秒
1267,缅玉世珍珠宝2号店,MYSZvip666,34090,female,珠宝,0,31837,7577,514.4,5.14,4.83,25,4475,6天20时23分28秒
1268,华熙生物,HX192011,279988,female,美妆,8,59928,2.0w,514.3,5.14,4.99,31,90,15天11时56分16秒
1269,裙子卖没了-50w招主播,helloyogui,196871,female,穿搭,0,116619,5.8w,514,5.14,4.83,54,172,7天1时15分20秒
1270,韩廷服饰焱选,hantingfushi,251973,female,穿搭,0,256713,14.4w,513.6,5.14,4.99,23,104,3天18时9分37秒
1271,王焱焱珐琅锅工厂直销,39075398,594047,female,种草,14,47045,4.3w,513.2,5.13,4.79,32,158,5天19时31分16秒
1272,罗莱生活官方旗舰店,202084327,372221,female,种草,14,35504,1.2w,513.2,5.13,1.62,35,156,22天15时6分37秒
1273,YMS亦美珊,yms_No.1,226001,female,穿搭,0,116569,4.0w,513.1,5.13,4.99,58,170,9天5时23分40秒
1274,合拍翡翠,fcyz666,252236,female,珠宝,0,26184,1.5w,513.1,5.13,3.86,73,7411,17天13时20分2秒
1275,丸子璐(早上10点直播),2192709834,1150139,female,穿搭,0,90929,5.8w,512.7,5.13,4.9,25,338,4天9时13分
1276,花奎服装工厂店（每天上午8点直播）,HK19910911,574881,female,穿搭,0,261926,15.2w,512.6,5.13,4.85,23,262,3天20时7分44秒
1277,海宁卢振female装服装店,68637987189,128343,female,穿搭,0,84083,8.5w,512.1,5.12,1.66,67,55,5天25分42秒
1278,侯美丽的家乡美食,w18663190589,1664668,female,生活,10,281304,17.8w,511.9,5.12,4.77,23,52,29天7时25分17秒
1279,爱漂亮的王俪霖,150364379,12134,female,珠宝,0,26519,1.7w,511,5.11,5,14,273,1天7时22分25秒
1280,鑫衣馆,xinyiguan,485919,female,穿搭,0,102655,2.2w,510.9,5.11,4.59,25,204,4天15时55分28秒
1281,饭痞兄弟,fpxd2020,4511876,male,美食,7,77821,19.6w,510.9,5.11,4.96,67,88,24天7时16分31秒
1282,水王李大海,haorenlidahai,474669,male,美食,7,90968,15.6w,510.6,5.11,4.65,71,233,7天9时26分48秒
1283,磊磊家的female鞋,king1503,356170,male,穿搭,0,13625,7.7w,510.2,5.1,4.79,106,1013,1天21时36分11秒
1284,妮彩诗艺术female鞋,nicaishi888,118556,male,穿搭,0,116096,2.9w,509.7,5.1,4.94,27,428,6天1时7分8秒
1285,澳州百丽官方旗舰店,aozhoubaili,216958,female,穿搭,0,161778,5.8w,509.3,5.09,4.91,43,68,6天3时39分22秒
1286,哎呦配家居,SYY1983,176765,female,种草,14,31262,7.2w,509.1,5.09,4.95,22,683,2天5时6分6秒
1287,Mona张绮贤(早上9:00开播),199533126,454530,female,穿搭,0,85096,3.5w,508.6,5.09,4.97,36,160,8天22时16分15秒
1288,几里原创female装,HX55018,113335,female,穿搭,0,91663,8.3w,508.3,5.08,1.96,22,728,3天18时58分58秒
1289,斐乐-FILA石家庄潮牌形象店,FILA.8888,136621,female,穿搭,0,19089,1.0w,508.3,5.08,1.68,125,315,17天2时26分36秒
1290,裕尧甄选,yinmeng1,500680,female,美妆,8,160181,25.7w,508.2,5.08,4.94,10,138,1天3时23分28秒
1291,英子白发记,yz583358339,2059469,female,生活,10,435640,5.4w,507.8,5.08,5,57,11,6天18时37分46秒
1292,法悦服装设计,Fayue.Design,129753,female,生活,10,87579,4.1w,507.7,5.08,4.9,16,302,2天19时23分17秒
1293,佛山市禅城区万灵福珠宝商行,MYZB888,23504,female,珠宝,0,42886,1.9w,507,5.07,4.61,22,3197,4天6时12分21秒
1294,可乐不渴,snd88999,321980,female,穿搭,0,66823,5.7w,506.8,5.07,5,26,662,6天11时16分9秒
1295,海天云海海鲜,htyh2,116485,female,美食,7,88124,7.8w,506.4,5.06,5,33,39,3天5时53分39秒
1296,玫宝娜female装,MEIBAONA,145283,female,穿搭,0,42971,2.1w,505.4,5.05,4.72,34,582,5天7时1分16秒
1297,紫一female装穿搭,962170173jn,240885,female,穿搭,0,228000,7.8w,505.2,5.05,4.91,29,85,6天18时15分59秒
1298,宋一慧（7月8日早8点夏季上新）,10257762,810748,female,穿搭,0,82889,5.5w,501.6,5.02,1.69,25,255,3天2时14秒
1299,妃鱼表友会,feiyu1979101,11882,male,珠宝,0,4518,1103,504.6,5.05,3.87,73,4824,14天21时54分24秒
1300,温迪?下午3点见,haiheng1,1466337,female,生活,10,42415,11.7w,504.4,5.04,4.86,40,187,4天14时1分41秒
1301,辰辰妈童装,chenchenma_01,421307,female,穿搭,0,85816,15.8w,504.3,5.04,4.98,55,311,9天13时39分20秒
1302,鼎云轩直播带货,JMDYXVIP,57467,female,珠宝,0,16579,2.5w,504,5.04,4.78,47,16557,19天12时16分58秒
1303,nice球鞋官方账号,dy27h5227ddn,70617,male,穿搭,0,101018,7109,503.8,5.04,1.56,16,871,1天2时15分49秒
1304,MsShe大码female装（夏上新）,52695375,317621,female,穿搭,0,56385,4.1w,503.5,5.04,4.99,66,352,21天18时20分23秒
1305,大格格服饰,1713608919,440218,female,穿搭,0,190419,3.3w,503.2,5.03,4.8,25,117,5天3时56分11秒
1306,梓淇female装服饰,ziqiV_I7710685I3,412832,female,穿搭,0,54282,3.1w,503.1,5.03,1.61,63,339,22天17时15分1秒
1307,玉婷财务,dkjgzs,742344,female,教育,4,46390,1411,502.9,5.03,4.79,26,5,3天18时10分49秒
1308,龙嫂工作室,shi13149319,1107177,male,生活,10,38450,5.7w,502.2,5.02,4.83,109,20,3天13时50分59秒
1309,爱唯依服装（招）,Libaby1216,372428,female,穿搭,0,102890,8.0w,502,5.02,4.98,42,1633,5天15时18分55秒
1310,凯文团队-品牌集合茶,187069115,34297,male,生活,10,20351,2.2w,501.3,5.01,4.83,24,290,6天19时5分31秒
1311,陈紫函,624173112,2746878,female,明星,9,393910,5371,501.1,5.01,4.91,2,113,10时50分22秒
1312,腕表参某长,v13161025555,1788248,male,种草,14,16618,545,500.5,5.01,4.9,100,435,16天15时55分17秒
