ranking,昵称,抖音号,number of followers,gender,profession of the broadcaster,profession,Number of viewers,sales volume,销售额/万,value of sales,Word of mouth,Live broadcast times,Total products,Total duration of live broadcast
957,梓玉衣橱,jl17365071050,379777,female,穿搭,0,71329,3.8w,651.9,6.52,1.62,75,142,11天3时16分19秒
958,马大展,MDZ521,2746286,female,生活,10,359610,9.7w,650.1,6.5,4.69,19,147,5天3时50分29秒
959,合拍合买,hepaihemaide,224905,female,生活,10,41659,3.4w,649.4,6.49,4.07,132,22987,21天10时42分2秒
960,老唐育儿（每晚9点科普直播）,erketangyisheng,4351304,male,教育,4,36030,5.3w,649.2,6.49,4.96,67,70,7天22时16分13秒
961,五芳斋品牌旗舰店,WUFANGZHAI_1921,41295,female,美食,7,49240,10.2w,648.2,6.48,4.36,26,49,8天10时50分35秒
962,妮宝一家,ninibaobao4,1360184,female,网红,12,112920,5.8w,647.9,6.48,4.83,26,302,4天10时53分37秒
963,青青大码衣橱,qingqingdama,332716,female,穿搭,0,278060,8.3w,617.9,6.49,4.95,12,304,1天14时1分41秒
961,初为服饰,Chuwei7777,708327,female,穿搭,0,99993,5.8w,617.8,6.18,4.81,27,610,6天15时29分
965,熙世美（7月12号7点官方家居节炸浮力）,maodanlin,1504470,female,生活,10,153366,9.0w,646.8,6.47,4.95,15,155,3天1时51分1秒
966,大飞哥哥,1998.5.2666,1345014,male,生活,10,240459,1.8w,646.2,6.46,4.62,4,456,22时52分48秒
967,胡涵溪,huhanxi1818,6527302,female,生活,10,388604,11.5w,646.2,6.46,4.9,16,101,1天21时54分7秒
968,兜兜私人定制,2069057229,340168,female,生活,10,104728,9.1w,646,6.46,4.84,27,647,6天6时34分
969,蕾蕾???,lei12345679,926672,female,体育,11,39752,2.3w,645.9,6.46,4.44,40,36,3天10时42分14秒
970,贝宣格服饰,BeiXuanGe,327704,female,穿搭,0,209520,5.8w,615.1,6.15,4.71,62,86,19天21时52分5秒
971,realme真我手机,2021realme,765967,female,科技,5,48747,4121,645.3,6.45,4.11,33,37,11天7时41分24秒
972,艾克奇百货,dada1592051284,198387,female,美妆,8,16265,16.2w,611.1,6.11,4.8,37,54,18天12时31分9秒
973,启茉female装?批发店（周一到周四直播）,A0005A,318734,female,穿搭,0,207853,14.1w,613.7,6.14,4.97,16,1202,1天9时52分42秒
974,猫哥评测Schuker,wsmjk,741137,male,种草,14,88712,3129,611.7,6.12,4.73,30,138,17天15时8分32秒
975,水星家纺官方旗舰店,shuixingjfgf,491883,female,生活,10,70164,3.3w,641.2,6.41,4.65,30,135,21天6时46分14秒
976,杭州四季青精品female装市场詹艳平服装店,691632657,311267,female,穿搭,0,176922,5.5w,610.8,6.11,4.97,32,208,7天4时47分10秒
977,六一的宝藏,liuyidebaozang,379621,female,穿搭,0,179112,10.3w,610.5,6.11,1.86,35,224,5天10时16分21秒
978,种草丛万福帮,jh13305310826,161119,female,种草,14,84297,11.5w,610.3,6.1,4.98,24,239,3天21时15分56秒
979,大小姐服饰（8点直播),dxj_999,563223,female,网红,12,38347,6.2w,639.4,6.39,4.73,43,580,5天6时32分53秒
980,丹姐female装,Les001,3132962,female,穿搭,0,192106,6.5w,638.1,6.38,1.68,32,106,14天22时44分59秒
981,麦子姐姐的小铺,0428XXL,230529,female,穿搭,0,356131,5.7w,638,6.38,4.97,31,88,17天9时34分53秒
982,老王银饰,laowangyinsh,233199,female,珠宝,0,32719,5.0w,637.9,6.38,4.5,31,809,2天5时9分10秒
983,宁波伟峰智能,weifeng0,222060,male,种草,14,13651,3.2w,637.9,6.38,5,26,5,5天13时26分15秒
984,小柒月月,135674778,2100245,female,生活,10,207729,15.5w,637.7,6.38,4.89,27,221,12天7时45分18秒
